 #             q                 psi(q)
          0.0115033829       -2.1845267662
          0.0213154895       -2.1778000477
          0.0340908735       -2.1598556251
          0.0497908600       -2.1243892081
          0.0683741946       -2.0653444858
          0.0898007680       -1.9784018745
          0.1140356841       -1.8624707290
          0.1410535753       -1.7205433321
          0.1708430913       -1.5593817418
          0.2034115207       -1.3880463026
          0.2387895516       -1.2158843915
          0.2770362229       -1.0508015379
          0.3182441709       -0.8983308612
          0.3625453321       -0.7615272362
          0.4101173192       -0.6413962136
          0.4611907577       -0.5375183541
          0.5160579467       -0.4486366490
          0.5750833095       -0.3731051647
          0.6387162255       -0.3091858468
          0.7075070081       -0.2552212326
          0.7821270256       -0.2097203092
          0.8633942859       -0.1713898409
          0.9523062594       -0.1391345627
          1.0500823554       -0.1120413691
