 #             q                 psi(q)
          1.1582193864       -0.0893564132
          1.2785646926       -0.0704598374
          1.4134135614       -0.0548402336
          1.5656405148       -0.0420694686
          1.7388784956       -0.0317780069
          1.9377668853       -0.0236313361
          2.1683001735       -0.0173097022
          2.4383266765       -0.0124958229
          2.7582757561       -0.0088769183
          3.1422413712       -0.0061644546
          3.6096362762       -0.0041240265
          4.1877879212       -0.0025947605
          4.9161423931       -0.0014812501
          5.8533241967       -0.0007253041
          7.0895048046       -0.0002766309
          8.7691849102       -0.0000687540
         11.1357622291       -0.0000078793
         14.6254008022       -0.0000002211
         20.0840073662       -0.0000000008
         29.3333639346       -0.0000000000
         46.9142405700       -0.0000000000
         86.9309500134       -0.0000000000
        213.3417725702       -0.0000000000
       1123.1864616060        0.0000000000
  f( -0.6000000000000005 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  -0.6000000000000005
 #             q                 psi(q)
          0.0008903241       -2.2269221926
          0.0046873146       -2.2276401760
          0.0115033829       -2.2263182987
          0.0213154895       -2.2185789135
          0.0340908735       -2.1984673576
          0.0497908600       -2.1591755495
          0.0683741946       -2.0943061186
          0.0898007680       -1.9995642720
          0.1140356841       -1.8743806849
          0.1410535753       -1.7227093794
          0.1708430913       -1.5524491469
          0.2034115207       -1.3736210046
          0.2387895516       -1.1961073100
          0.2770362229       -1.0278777496
          0.3182441709       -0.8741810358
          0.3625453321       -0.7376195800
          0.4101173192       -0.6187281872
          0.4611907577       -0.5166844696
          0.5160579467       -0.4299266204
          0.5750833095       -0.3565986132
          0.6387162255       -0.2948290316
          0.7075070081       -0.2428830549
          0.7821270256       -0.1992302591
          0.8633942859       -0.1625621531
          0.9523062594       -0.1317826434
          1.0500823554       -0.1059857382
          1.1582193864       -0.0844285308
          1.2785646926       -0.0665034682
          1.4134135614       -0.0517114838
          1.5656405148       -0.0396362894
          1.7388784956       -0.0299197351
          1.9377668853       -0.0222386867
          2.1683001735       -0.0162854375
          2.4383266765       -0.0117560187
          2.7582757561       -0.0083522860
          3.1422413712       -0.0058007225
          3.6096362762       -0.0038804285
          4.1877879212       -0.0024406731
          4.9161423931       -0.0013923857
          5.8533241967       -0.0006810904
          7.0895048046       -0.0002593499
          8.7691849102       -0.0000642847
         11.1357622291       -0.0000073282
         14.6254008022       -0.0000002030
         20.0840073662       -0.0000000007
         29.3333639346       -0.0000000000
         46.9142405700       -0.0000000000
         86.9309500134       -0.0000000000
        213.3417725702        0.0000000000
       1123.1864616060        0.0000000000
  f( -0.20000000000000017 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  -0.20000000000000017
 #             q                 psi(q)
          0.0008903241       -2.2733674840
          0.0046873146       -2.2740041787
          0.0115033829       -2.2722641004
          0.0213154895       -2.2633212061
          0.0340908735       -2.2406406714
          0.0497908600       -2.1968345805
          0.0683741946       -2.1251422765
          0.0898007680       -2.0213658238
          0.1140356841       -1.8856291345
          0.1410535753       -1.7230683140
          0.1708430913       -1.5428997780
          0.2034115207       -1.3561787957
          0.2387895516       -1.1732824604
          0.2770362229       -1.0021357934
          0.3182441709       -0.8475820793
          0.3625453321       -0.7116746507
          0.4101173192       -0.5944165637
          0.4611907577       -0.4945522916
          0.5160579467       -0.4102057500
          0.5750833095       -0.3393128157
          0.6387162255       -0.2798758023
          0.7075070081       -0.2300910235
          0.7821270256       -0.1883967093
          0.8633942859       -0.1534760266
          0.9523062594       -0.1242376633
          1.0500823554       -0.0997871516
          1.1582193864       -0.0793959325
          1.2785646926       -0.0624713697
          1.4134135614       -0.0485287441
          1.5656405148       -0.0371651701
          1.7388784956       -0.0280351224
          1.9377668853       -0.0208278642
          2.1683001735       -0.0152486045
          2.4383266765       -0.0110074396
          2.7582757561       -0.0078214869
          3.1422413712       -0.0054327120
          3.6096362762       -0.0036339974
          4.1877879212       -0.0022848663
          4.9161423931       -0.0013026106
          5.8533241967       -0.0006364876
          7.0895048046       -0.0002419557
          8.7691849102       -0.0000598026
         11.1357622291       -0.0000067792
         14.6254008022       -0.0000001852
         20.0840073662       -0.0000000006
         29.3333639346       -0.0000000000
         46.9142405700       -0.0000000000
         86.9309500134       -0.0000000000
        213.3417725702        0.0000000000
       1123.1864616060        0.0000000000
  f( 0.20000000000000017 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  0.20000000000000017
 #             q                 psi(q)
          0.0008903241       -2.3248828597
          0.0046873146       -2.3254211741
          0.0115033829       -2.3231761333
          0.0213154895       -2.3127824882
          0.0340908735       -2.2870141758
          0.0497908600       -2.2378105160
          0.0683741946       -2.1580304489
          0.0898007680       -2.0436821942
          0.1140356841       -1.8958167667
          0.1410535753       -1.7210320822
          0.1708430913       -1.5300704469
          0.2034115207       -1.3350817561
          0.2387895516       -1.1468595797
          0.2770362229       -0.9731357302
          0.3182441709       -0.8181996964
          0.3625453321       -0.6834462275
          0.4101173192       -0.5682828874
          0.4611907577       -0.4709931392
          0.5160579467       -0.3893810425
          0.5750833095       -0.3211801324
          0.6387162255       -0.2642765599
          0.7075070081       -0.2168084793
          0.7821270256       -0.1771923913
          0.8633942859       -0.1441110970
          0.9523062594       -0.1164843956
          1.0500823554       -0.0934342433
          1.1582193864       -0.0742501706
          1.2785646926       -0.0583573029
          1.4134135614       -0.0452874402
          1.5656405148       -0.0346527787
          1.7388784956       -0.0261217505
          1.9377668853       -0.0193971117
          2.1683001735       -0.0141979213
          2.4383266765       -0.0102491465
          2.7582757561       -0.0072838380
          3.1422413712       -0.0050599401
          3.6096362762       -0.0033844097
          4.1877879212       -0.0021271409
          4.9161423931       -0.0012118164
          5.8533241967       -0.0005914469
          7.0895048046       -0.0002244320
          8.7691849102       -0.0000553046
         11.1357622291       -0.0000062324
         14.6254008022       -0.0000001677
         20.0840073662       -0.0000000005
         29.3333639346       -0.0000000000
         46.9142405700       -0.0000000000
         86.9309500134       -0.0000000000
        213.3417725702        0.0000000000
       1123.1864616060        0.0000000000
  f( 0.6000000000000005 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  0.6000000000000005
 #             q                 psi(q)
          0.0008903241       -2.3825658888
          0.0046873146       -2.3829831584
          0.0115033829       -2.3801180178
          0.0213154895       -2.3679459969
          0.0340908735       -2.3384052569
          0.0497908600       -2.2826478169
          0.0683741946       -2.1931470412
          0.0898007680       -2.0662847164
          0.1140356841       -1.9043618769
          0.1410535753       -1.7157954213
          0.1708430913       -1.5130883051
          0.2034115207       -1.3095164871
          0.2387895516       -1.1161553094
          0.2770362229       -0.9403428044
          0.3182441709       -0.7856342056
          0.3625453321       -0.6526433757
          0.4101173192       -0.5401178586
          0.4611907577       -0.4458566553
          0.5160579467       -0.3673439287
          0.5750833095       -0.3021214961
          0.6387162255       -0.2479731733
          0.7075070081       -0.2029923111
          0.7821270256       -0.1655851186
          0.8633942859       -0.1344432371
          0.9523062594       -0.1085047354
          1.0500823554       -0.0869134527
          1.1582193864       -0.0689811338
          1.2785646926       -0.0541537774
          1.4134135614       -0.0419820635
          1.5656405148       -0.0320950907
          1.7388784956       -0.0241766903
          1.9377668853       -0.0179442968
          2.1683001735       -0.0131318287
          2.4383266765       -0.0094799968
          2.7582757561       -0.0067385083
          3.1422413712       -0.0046818194
          3.6096362762       -0.0031312723
          4.1877879212       -0.0019672551
          4.9161423931       -0.0011198715
          5.8533241967       -0.0005459086
          7.0895048046       -0.0002067590
          8.7691849102       -0.0000507871
         11.1357622291       -0.0000056874
         14.6254008022       -0.0000001506
         20.0840073662       -0.0000000005
         29.3333639346       -0.0000000000
         46.9142405700       -0.0000000000
         86.9309500134       -0.0000000000
        213.3417725702       -0.0000000000
       1123.1864616060        0.0000000000
  f( 1.0000000000000008 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  1.0000000000000008
 #             q                 psi(q)
          0.0008903241       -2.4478948744
          0.0046873146       -2.4481602138
          0.0115033829       -2.4445179558
          0.0213154895       -2.4301215628
          0.0340908735       -2.3958809882
          0.0497908600       -2.3320188189
          0.0683741946       -2.2306429575
          0.0898007680       -2.0887692558
          0.1140356841       -1.9104021458
          0.1410535753       -1.7062351338
          0.1708430913       -1.4907855909
          0.2034115207       -1.2784309142
          0.2387895516       -1.0803101004
          0.2770362229       -0.9030991897
          0.3182441709       -0.7494020620
          0.3625453321       -0.6189180886
          0.4101173192       -0.5096727800
          0.4611907577       -0.4189646790
          0.5160579467       -0.3439657465
          0.5750833095       -0.2820430066
          0.6387162255       -0.2308963754
          0.7075070081       -0.1885909480
          0.7821270256       -0.1535362322
          0.8633942859       -0.1244433531
          0.9523062594       -0.1002767689
          1.0500823554       -0.0802083089
          1.1582193864       -0.0635765006
          1.2785646926       -0.0498516365
          1.4134135614       -0.0386058598
          1.5656405148       -0.0294871573
          1.7388784956       -0.0221963304
          1.9377668853       -0.0164667837
          2.1683001735       -0.0120483971
          2.4383266765       -0.0086985753
          2.7582757561       -0.0061844691
          3.1422413712       -0.0042976230
